onset	duration	value	trial_type
42.0787	5	1	left
64.4150	5	1	right
89.0825	5	1	right
111.0012	5	1	left
136.4850	5	1	left
160.2200	5	1	left
181.3738	5	1	right
207.2400	5	1	right
229.5263	5	1	left
254.0938	5	1	right
277.0125	5	1	left
302.3462	5	1	right
325.2150	5	1	right
346.7013	5	1	left
